t,step,ey,epsi_deg,speed,vehicle_accel,cmd_accel,cmd_yaw_or_steer,final_accel_delta,solve_time_ms,risk_tightening,target_prob,ego_distance_to_conflict,supervisor_active,target_cleared,top_mode_probability
6.45,129,0.01184407977,-3.944309152,5.0349442,0.6437733103,0.3551032303,0.3064302489,-0.4681149811,30.238178,1.64,0.9494974165,-3.346012469,0,1,0.5877039433
6.5,130,0.01773283716,-2.885188974,5.022837902,-0.4252572317,0.2,0.2203761352,-0.1403614759,70.053727,1.64,0.9494974165,-3.346012469,0,1,0.6413413882
6.55,131,0.01611477515,-5.425552165,5.000515545,-0.5506996105,0.2,0.2217465613,-0.2477577799,75.406631,1.64,0.9494974165,-3.346012469,0,1,0.7647343874
6.6,132,0.01557847823,-4.344871318,5.029202888,0.437067153,0.4999884209,0.2976268611,-0.4999999961,51.119255,1.64,0.9494974165,-4.452524089,0,1,0.8142980337
6.65,133,0.02059604207,-3.197845256,5.028757287,-0.1613694013,0.3932620143,0.2985943863,-0.4999999961,102.365816,1.64,0.9494974165,-4.452524089,0,1,0.767593801
6.7,134,0.03148474763,-1.98660258,5.025975269,-0.2261888186,0.2,0.2004153355,-0.1999978572,52.861274,1.64,0.9494974165,-4.452524089,0,1,0.8016130328
6.75,135,0.03605888148,-4.397747374,5.015331455,-0.3591216498,0.2,0.1471056208,-0.150191514,65.810107,1.64,0.9494974165,-4.452524089,0,1,0.8403527737
6.8,136,0.03871591485,-3.342121459,5.052271628,0.711625506,0.5000366878,0.2714172077,-0.5000000034,71.728174,1.64,0.9494974165,-5.534625381,0,1,0.8413764834
6.85,137,0.04470921425,-2.370235778,5.021772054,-0.7247901569,0.397985691,0.2721589387,-0.5000000034,78.841473,1.64,0.9494974165,-5.534625381,0,1,0.9068962336
6.9,138,0.05623364974,-1.357570983,5.00997807,-0.3648395607,0.2,0.1911883302,-0.2000381376,80.354523,1.64,0.9494974165,-5.534625381,0,1,0.8560651541
6.95,139,0.06052717744,-4.00687648,5.02247202,0.1598203773,0.2,0.1913656777,-0.3122871214,52.606392,1.64,0.9494974165,-5.534625381,0,1,0.9124744534
7,140,0.0632501844,-3.028345596,4.975615839,-1.015200809,0.2097536642,0.1068719701,-0.2096916232,63.70394,1.64,0.9494974165,-5.534625381,0,1,0.9070340991
7.05,141,0.06788012733,-2.210176956,5.025679203,0.9695213558,0.2,0.1072359563,-0.3029936207,54.806006,1.64,0.9494974165,-6.587402918,0,1,0.9237698913
